,Forecasted Load,Actual Load
2022-01-04 07:30:00+01:00,64352.0,63699.0
2022-01-04 07:45:00+01:00,65046.0,64940.0
2022-01-04 08:00:00+01:00,66174.0,66006.0
2022-01-04 08:15:00+01:00,66659.0,66767.0
2022-01-04 08:30:00+01:00,67033.0,67030.0
2022-01-04 08:45:00+01:00,67522.0,67263.0
2022-01-04 09:00:00+01:00,67506.0,67688.0
2022-01-04 09:15:00+01:00,68039.0,68050.0
2022-01-04 09:30:00+01:00,68566.0,68284.0
2022-01-04 09:45:00+01:00,68538.0,68603.0
2022-01-04 10:00:00+01:00,68147.0,68499.0
2022-01-04 10:15:00+01:00,68300.0,68879.0
2022-01-04 10:30:00+01:00,68430.0,69018.0
2022-01-04 10:45:00+01:00,68816.0,69475.0
2022-01-04 11:00:00+01:00,68969.0,69539.0
2022-01-04 11:15:00+01:00,69367.0,70069.0
2022-01-04 11:30:00+01:00,69771.0,70462.0
2022-01-04 11:45:00+01:00,69900.0,70749.0
2022-01-04 12:00:00+01:00,69946.0,70840.0
2022-01-04 12:15:00+01:00,69733.0,70645.0
2022-01-04 12:30:00+01:00,69812.0,70441.0
2022-01-04 12:45:00+01:00,69850.0,70100.0
2022-01-04 13:00:00+01:00,69694.0,70114.0
2022-01-04 13:15:00+01:00,69141.0,69515.0
2022-01-04 13:30:00+01:00,68600.0,69199.0
2022-01-04 13:45:00+01:00,68190.0,68872.0
2022-01-04 14:00:00+01:00,68010.0,69003.0
2022-01-04 14:15:00+01:00,67882.0,68766.0
2022-01-04 14:30:00+01:00,67572.0,68860.0
2022-01-04 14:45:00+01:00,67180.0,68732.0
2022-01-04 15:00:00+01:00,67034.0,68499.0
2022-01-04 15:15:00+01:00,66737.0,68483.0
2022-01-04 15:30:00+01:00,66386.0,68494.0
2022-01-04 15:45:00+01:00,66329.0,68747.0
2022-01-04 16:00:00+01:00,66608.0,69009.0
2022-01-04 16:15:00+01:00,66895.0,69209.0
2022-01-04 16:30:00+01:00,67472.0,69364.0
