,Actual Load
2022-01-03 16:00:00+01:00,67956.0
2022-01-03 16:15:00+01:00,68194.0
2022-01-03 16:30:00+01:00,68924.0
2022-01-03 16:45:00+01:00,69670.0
2022-01-03 17:00:00+01:00,70425.0
2022-01-03 17:15:00+01:00,70998.0
2022-01-03 17:30:00+01:00,71318.0
2022-01-03 17:45:00+01:00,71627.0
2022-01-03 18:00:00+01:00,71246.0
2022-01-03 18:15:00+01:00,71069.0
2022-01-03 18:30:00+01:00,70833.0
2022-01-03 18:45:00+01:00,70257.0
2022-01-03 19:00:00+01:00,69915.0
2022-01-03 19:15:00+01:00,69132.0
2022-01-03 19:30:00+01:00,68442.0
2022-01-03 19:45:00+01:00,67842.0
2022-01-03 20:00:00+01:00,66621.0
2022-01-03 20:15:00+01:00,65275.0
2022-01-03 20:30:00+01:00,64056.0
2022-01-03 20:45:00+01:00,63018.0
2022-01-03 21:00:00+01:00,62115.0
2022-01-03 21:15:00+01:00,61292.0
2022-01-03 21:30:00+01:00,60324.0
2022-01-03 21:45:00+01:00,59889.0
2022-01-03 22:00:00+01:00,59690.0
2022-01-03 22:15:00+01:00,58649.0
2022-01-03 22:30:00+01:00,57452.0
2022-01-03 22:45:00+01:00,56416.0
2022-01-03 23:00:00+01:00,55454.0
2022-01-03 23:15:00+01:00,54649.0
2022-01-03 23:30:00+01:00,53844.0
2022-01-03 23:45:00+01:00,53130.0
2022-01-04 00:00:00+01:00,52094.0
2022-01-04 00:15:00+01:00,51584.0
2022-01-04 00:30:00+01:00,50902.0
2022-01-04 00:45:00+01:00,50184.0
2022-01-04 01:00:00+01:00,49388.0
2022-01-04 01:15:00+01:00,48955.0
2022-01-04 01:30:00+01:00,48749.0
2022-01-04 01:45:00+01:00,48562.0
2022-01-04 02:00:00+01:00,48099.0
2022-01-04 02:15:00+01:00,48147.0
2022-01-04 02:30:00+01:00,48087.0
2022-01-04 02:45:00+01:00,48095.0
2022-01-04 03:00:00+01:00,48445.0
2022-01-04 03:15:00+01:00,48467.0
2022-01-04 03:30:00+01:00,48542.0
2022-01-04 03:45:00+01:00,48853.0
2022-01-04 04:00:00+01:00,49149.0
2022-01-04 04:15:00+01:00,49538.0
2022-01-04 04:30:00+01:00,50173.0
2022-01-04 04:45:00+01:00,50686.0
2022-01-04 05:00:00+01:00,51437.0
2022-01-04 05:15:00+01:00,52048.0
2022-01-04 05:30:00+01:00,52931.0
2022-01-04 05:45:00+01:00,54179.0
2022-01-04 06:00:00+01:00,56455.0
2022-01-04 06:15:00+01:00,57794.0
2022-01-04 06:30:00+01:00,58720.0
2022-01-04 06:45:00+01:00,59947.0
2022-01-04 07:00:00+01:00,61713.0
2022-01-04 07:15:00+01:00,62574.0
2022-01-04 07:30:00+01:00,63699.0
2022-01-04 07:45:00+01:00,64940.0
2022-01-04 08:00:00+01:00,66006.0
2022-01-04 08:15:00+01:00,66767.0
2022-01-04 08:30:00+01:00,67030.0
2022-01-04 08:45:00+01:00,67263.0
2022-01-04 09:00:00+01:00,67688.0
2022-01-04 09:15:00+01:00,68050.0
2022-01-04 09:30:00+01:00,68284.0
2022-01-04 09:45:00+01:00,68603.0
2022-01-04 10:00:00+01:00,68499.0
2022-01-04 10:15:00+01:00,68879.0
2022-01-04 10:30:00+01:00,69018.0
2022-01-04 10:45:00+01:00,69475.0
2022-01-04 11:00:00+01:00,69539.0
2022-01-04 11:15:00+01:00,70069.0
2022-01-04 11:30:00+01:00,70462.0
2022-01-04 11:45:00+01:00,70749.0
2022-01-04 12:00:00+01:00,70840.0
2022-01-04 12:15:00+01:00,70645.0
2022-01-04 12:30:00+01:00,70441.0
2022-01-04 12:45:00+01:00,70100.0
