,Forecasted Load
2022-01-02 22:00:00+01:00,54588.0
2022-01-02 22:15:00+01:00,54202.0
2022-01-02 22:30:00+01:00,53563.0
2022-01-02 22:45:00+01:00,52837.0
2022-01-02 23:00:00+01:00,51882.0
2022-01-02 23:15:00+01:00,51423.0
2022-01-02 23:30:00+01:00,50767.0
2022-01-02 23:45:00+01:00,50351.0
2022-01-03 00:00:00+01:00,49917.0
2022-01-03 00:15:00+01:00,49309.0
2022-01-03 00:30:00+01:00,48825.0
2022-01-03 00:45:00+01:00,48264.0
2022-01-03 01:00:00+01:00,47919.0
2022-01-03 01:15:00+01:00,47504.0
2022-01-03 01:30:00+01:00,47177.0
2022-01-03 01:45:00+01:00,46900.0
2022-01-03 02:00:00+01:00,46771.0
2022-01-03 02:15:00+01:00,46839.0
2022-01-03 02:30:00+01:00,46729.0
2022-01-03 02:45:00+01:00,46743.0
2022-01-03 03:00:00+01:00,46860.0
2022-01-03 03:15:00+01:00,47001.0
2022-01-03 03:30:00+01:00,47271.0
2022-01-03 03:45:00+01:00,47500.0
2022-01-03 04:00:00+01:00,48123.0
2022-01-03 04:15:00+01:00,48392.0
2022-01-03 04:30:00+01:00,48690.0
2022-01-03 04:45:00+01:00,49295.0
2022-01-03 05:00:00+01:00,50318.0
2022-01-03 05:15:00+01:00,50700.0
2022-01-03 05:30:00+01:00,51842.0
2022-01-03 05:45:00+01:00,53105.0
2022-01-03 06:00:00+01:00,54867.0
2022-01-03 06:15:00+01:00,56330.0
2022-01-03 06:30:00+01:00,57691.0
2022-01-03 06:45:00+01:00,58987.0
2022-01-03 07:00:00+01:00,60645.0
2022-01-03 07:15:00+01:00,61364.0
2022-01-03 07:30:00+01:00,62099.0
2022-01-03 07:45:00+01:00,62796.0
2022-01-03 08:00:00+01:00,63814.0
2022-01-03 08:15:00+01:00,64090.0
2022-01-03 08:30:00+01:00,64392.0
2022-01-03 08:45:00+01:00,64840.0
2022-01-03 09:00:00+01:00,64757.0
2022-01-03 09:15:00+01:00,65480.0
2022-01-03 09:30:00+01:00,65930.0
2022-01-03 09:45:00+01:00,65905.0
2022-01-03 10:00:00+01:00,65576.0
2022-01-03 10:15:00+01:00,65559.0
2022-01-03 10:30:00+01:00,65927.0
2022-01-03 10:45:00+01:00,66319.0
2022-01-03 11:00:00+01:00,66833.0
2022-01-03 11:15:00+01:00,67265.0
2022-01-03 11:30:00+01:00,67618.0
2022-01-03 11:45:00+01:00,67561.0
2022-01-03 12:00:00+01:00,67682.0
2022-01-03 12:15:00+01:00,67667.0
2022-01-03 12:30:00+01:00,67533.0
2022-01-03 12:45:00+01:00,67734.0
2022-01-03 13:00:00+01:00,67457.0
2022-01-03 13:15:00+01:00,67044.0
2022-01-03 13:30:00+01:00,66618.0
2022-01-03 13:45:00+01:00,66161.0
2022-01-03 14:00:00+01:00,65893.0
2022-01-03 14:15:00+01:00,65811.0
2022-01-03 14:30:00+01:00,65508.0
2022-01-03 14:45:00+01:00,65038.0
2022-01-03 15:00:00+01:00,65071.0
2022-01-03 15:15:00+01:00,64873.0
2022-01-03 15:30:00+01:00,64518.0
2022-01-03 15:45:00+01:00,64557.0
2022-01-03 16:00:00+01:00,64940.0
2022-01-03 16:15:00+01:00,65289.0
2022-01-03 16:30:00+01:00,65865.0
2022-01-03 16:45:00+01:00,66580.0
2022-01-03 17:00:00+01:00,67371.0
