,0
2022-01-05 23:00:00+01:00,0.0
2022-01-06 00:00:00+01:00,0.0
2022-01-06 01:00:00+01:00,0.0
2022-01-06 02:00:00+01:00,0.0
2022-01-06 03:00:00+01:00,0.0
2022-01-06 04:00:00+01:00,0.0
2022-01-06 05:00:00+01:00,0.0
2022-01-06 06:00:00+01:00,0.0
2022-01-06 07:00:00+01:00,0.0
2022-01-06 08:00:00+01:00,0.0
2022-01-06 09:00:00+01:00,0.0
2022-01-06 10:00:00+01:00,0.0
2022-01-06 11:00:00+01:00,0.0
2022-01-06 12:00:00+01:00,0.0
2022-01-06 13:00:00+01:00,0.0
2022-01-06 14:00:00+01:00,1.0
2022-01-06 15:00:00+01:00,204.0
2022-01-06 16:00:00+01:00,162.0
2022-01-06 17:00:00+01:00,154.0
2022-01-06 18:00:00+01:00,0.0
2022-01-06 19:00:00+01:00,0.0
2022-01-06 20:00:00+01:00,0.0
2022-01-06 21:00:00+01:00,0.0
2022-01-06 22:00:00+01:00,0.0
2022-01-06 23:00:00+01:00,1.0
